"year" "number" "freq" "pr"
2008 12 6 0.115384615384615
2009 12 5 0.0961538461538462
2010 12 5 0.0943396226415094
2011 12 15 0.174418604651163
2012 12 6 0.0576923076923077
2013 12 9 0.0857142857142857
2014 12 5 0.0684931506849315
2004 13 4 0.0851063829787234
2005 13 5 0.0961538461538462
2006 13 3 0.0576923076923077
2007 13 4 0.0769230769230769
2008 13 5 0.0961538461538462
2009 13 5 0.0961538461538462
2010 13 5 0.0943396226415094
2011 13 7 0.0813953488372093
2012 13 8 0.0769230769230769
2013 13 16 0.152380952380952
2014 13 7 0.0958904109589041
2004 14 4 0.0851063829787234
2005 14 7 0.134615384615385
2006 14 5 0.0961538461538462
2007 14 6 0.115384615384615
2008 14 8 0.153846153846154
2009 14 8 0.153846153846154
2010 14 1 0.0188679245283019
2011 14 13 0.151162790697674
2012 14 11 0.105769230769231
2013 14 10 0.0952380952380952
2014 14 1 0.0136986301369863
2004 15 9 0.191489361702128
2005 15 5 0.0961538461538462
2006 15 5 0.0961538461538462
2007 15 5 0.0961538461538462
2008 15 5 0.0961538461538462
2009 15 5 0.0961538461538462
2010 15 3 0.0566037735849057
2011 15 8 0.0930232558139535
2012 15 10 0.0961538461538462
2013 15 11 0.104761904761905
2014 15 6 0.0821917808219178
2004 16 5 0.106382978723404
2005 16 2 0.0384615384615385
2006 16 7 0.134615384615385
2007 16 5 0.0961538461538462
2008 16 8 0.153846153846154
2009 16 7 0.134615384615385
2010 16 3 0.0566037735849057
2011 16 12 0.13953488372093
2012 16 12 0.115384615384615
2013 16 9 0.0857142857142857
2014 16 5 0.0684931506849315
2004 17 0 0
2005 17 3 0.0576923076923077
2006 17 5 0.0961538461538462
2007 17 7 0.134615384615385
2008 17 7 0.134615384615385
2009 17 6 0.115384615384615
2010 17 6 0.113207547169811
2011 17 10 0.116279069767442
2012 17 12 0.115384615384615
2013 17 11 0.104761904761905
2014 17 4 0.0547945205479452
2004 18 3 0.0638297872340425
2005 18 4 0.0769230769230769
2006 18 4 0.0769230769230769
2007 18 6 0.115384615384615
2008 18 5 0.0961538461538462
2009 18 4 0.0769230769230769
2010 18 6 0.113207547169811
2011 18 9 0.104651162790698
2012 18 11 0.105769230769231
2013 18 6 0.0571428571428571
2014 18 12 0.164383561643836
2004 19 6 0.127659574468085
2005 19 7 0.134615384615385
2006 19 3 0.0576923076923077
2007 19 7 0.134615384615385
2008 19 10 0.192307692307692
2009 19 6 0.115384615384615
2010 19 5 0.0943396226415094
2011 19 12 0.13953488372093
2012 19 10 0.0961538461538462
2013 19 10 0.0952380952380952
2014 19 10 0.136986301369863
2004 20 2 0.0425531914893617
2005 20 3 0.0576923076923077
2006 20 4 0.0769230769230769
2007 20 7 0.134615384615385
2008 20 4 0.0769230769230769
2009 20 10 0.192307692307692
2010 20 2 0.0377358490566038
2011 20 11 0.127906976744186
2012 20 12 0.115384615384615
2013 20 9 0.0857142857142857
2014 20 7 0.0958904109589041
2004 21 7 0.148936170212766
2005 21 7 0.134615384615385
2006 21 6 0.115384615384615
2007 21 5 0.0961538461538462
2008 21 6 0.115384615384615
2009 21 6 0.115384615384615
2010 21 5 0.0943396226415094
2011 21 12 0.13953488372093
2012 21 8 0.0769230769230769
2013 21 4 0.0380952380952381
2014 21 10 0.136986301369863
2004 22 3 0.0638297872340425
2005 22 1 0.0192307692307692
2006 22 4 0.0769230769230769
2007 22 8 0.153846153846154
2008 22 5 0.0961538461538462
2009 22 5 0.0961538461538462
2010 22 5 0.0943396226415094
2011 22 11 0.127906976744186
2012 22 11 0.105769230769231
2013 22 11 0.104761904761905
2014 22 7 0.0958904109589041
2004 23 6 0.127659574468085
2005 23 8 0.153846153846154
2006 23 3 0.0576923076923077
2007 23 7 0.134615384615385
2008 23 3 0.0576923076923077
2009 23 4 0.0769230769230769
2010 23 3 0.0566037735849057
2011 23 14 0.162790697674419
2012 23 14 0.134615384615385
2013 23 11 0.104761904761905
2014 23 8 0.10958904109589
2004 24 7 0.148936170212766
2005 24 5 0.0961538461538462
2006 24 3 0.0576923076923077
2007 24 0 0
2008 24 3 0.0576923076923077
2009 24 7 0.134615384615385
2010 24 8 0.150943396226415
2011 24 10 0.116279069767442
2012 24 11 0.105769230769231
2013 24 13 0.123809523809524
2014 24 11 0.150684931506849
2004 25 4 0.0851063829787234
2005 25 5 0.0961538461538462
2006 25 4 0.0769230769230769
2007 25 8 0.153846153846154
2008 25 8 0.153846153846154
2009 25 5 0.0961538461538462
2010 25 2 0.0377358490566038
2011 25 11 0.127906976744186
2012 25 14 0.134615384615385
2013 25 11 0.104761904761905
2014 25 9 0.123287671232877
2004 26 2 0.0425531914893617
2005 26 9 0.173076923076923
2006 26 6 0.115384615384615
2007 26 5 0.0961538461538462
2008 26 6 0.115384615384615
2009 26 4 0.0769230769230769
2010 26 5 0.0943396226415094
2011 26 8 0.0930232558139535
2012 26 9 0.0865384615384615
2013 26 12 0.114285714285714
2014 26 12 0.164383561643836
2004 27 7 0.148936170212766
2005 27 3 0.0576923076923077
2006 27 3 0.0576923076923077
2007 27 4 0.0769230769230769
2008 27 6 0.115384615384615
2009 27 0 0
2010 27 5 0.0943396226415094
2011 27 7 0.0813953488372093
2012 27 14 0.134615384615385
2013 27 13 0.123809523809524
2014 27 10 0.136986301369863
2004 28 5 0.106382978723404
2005 28 3 0.0576923076923077
2006 28 3 0.0576923076923077
2007 28 2 0.0384615384615385
2008 28 3 0.0576923076923077
2009 28 2 0.0384615384615385
2010 28 6 0.113207547169811
2011 28 13 0.151162790697674
2012 28 14 0.134615384615385
2013 28 16 0.152380952380952
2014 28 7 0.0958904109589041
2004 29 5 0.106382978723404
2005 29 5 0.0961538461538462
2006 29 3 0.0576923076923077
2007 29 7 0.134615384615385
2008 29 7 0.134615384615385
2009 29 8 0.153846153846154
2010 29 7 0.132075471698113
2011 29 5 0.0581395348837209
2012 29 10 0.0961538461538462
2013 29 12 0.114285714285714
2014 29 6 0.0821917808219178
2004 30 1 0.0212765957446809
2005 30 5 0.0961538461538462
2006 30 5 0.0961538461538462
2007 30 7 0.134615384615385
2008 30 4 0.0769230769230769
2009 30 9 0.173076923076923
2010 30 5 0.0943396226415094
2011 30 5 0.0581395348837209
2012 30 12 0.115384615384615
2013 30 12 0.114285714285714
2014 30 7 0.0958904109589041
2004 31 3 0.0638297872340425
2005 31 8 0.153846153846154
2006 31 3 0.0576923076923077
2007 31 3 0.0576923076923077
2008 31 4 0.0769230769230769
2009 31 7 0.134615384615385
2010 31 7 0.132075471698113
2011 31 5 0.0581395348837209
2012 31 9 0.0865384615384615
2013 31 10 0.0952380952380952
2014 31 9 0.123287671232877
2004 32 4 0.0851063829787234
2005 32 6 0.115384615384615
2006 32 5 0.0961538461538462
2007 32 4 0.0769230769230769
2008 32 1 0.0192307692307692
2009 32 5 0.0961538461538462
2010 32 6 0.113207547169811
2011 32 4 0.0465116279069767
2012 32 6 0.0576923076923077
2013 32 8 0.0761904761904762
2014 32 6 0.0821917808219178
2004 33 3 0.0638297872340425
2005 33 2 0.0384615384615385
2006 33 7 0.134615384615385
2007 33 6 0.115384615384615
2008 33 2 0.0384615384615385
2009 33 6 0.115384615384615
2010 33 4 0.0754716981132075
2011 33 8 0.0930232558139535
2012 33 6 0.0576923076923077
2013 33 10 0.0952380952380952
2014 33 10 0.136986301369863
2004 34 7 0.148936170212766
2005 34 2 0.0384615384615385
2006 34 6 0.115384615384615
2007 34 6 0.115384615384615
2008 34 1 0.0192307692307692
2009 34 6 0.115384615384615
2010 34 3 0.0566037735849057
2011 34 8 0.0930232558139535
2012 34 9 0.0865384615384615
2013 34 8 0.0761904761904762
2014 34 8 0.10958904109589
2004 35 6 0.127659574468085
2005 35 4 0.0769230769230769
2006 35 6 0.115384615384615
2007 35 5 0.0961538461538462
2008 35 3 0.0576923076923077
2009 35 8 0.153846153846154
2010 35 5 0.0943396226415094
2011 35 5 0.0581395348837209
2012 35 12 0.115384615384615
2013 35 11 0.104761904761905
2014 35 9 0.123287671232877
2004 36 6 0.127659574468085
2005 36 5 0.0961538461538462
2006 36 5 0.0961538461538462
2007 36 7 0.134615384615385
2008 36 3 0.0576923076923077
2009 36 7 0.134615384615385
2010 36 10 0.188679245283019
2011 36 6 0.0697674418604651
2012 36 10 0.0961538461538462
2013 36 12 0.114285714285714
2014 36 4 0.0547945205479452
2004 37 8 0.170212765957447
2005 37 6 0.115384615384615
2006 37 4 0.0769230769230769
2007 37 7 0.134615384615385
2008 37 9 0.173076923076923
2009 37 5 0.0961538461538462
2010 37 4 0.0754716981132075
2011 37 9 0.104651162790698
2012 37 8 0.0769230769230769
2013 37 13 0.123809523809524
2014 37 7 0.0958904109589041
2004 38 4 0.0851063829787234
2005 38 5 0.0961538461538462
2006 38 6 0.115384615384615
2007 38 6 0.115384615384615
2008 38 4 0.0769230769230769
2009 38 5 0.0961538461538462
2010 38 11 0.207547169811321
2011 38 11 0.127906976744186
2012 38 11 0.105769230769231
2013 38 12 0.114285714285714
2014 38 10 0.136986301369863
2004 39 5 0.106382978723404
2005 39 4 0.0769230769230769
2006 39 3 0.0576923076923077
2007 39 3 0.0576923076923077
2008 39 4 0.0769230769230769
2009 39 2 0.0384615384615385
2010 39 8 0.150943396226415
2011 39 8 0.0930232558139535
2012 39 9 0.0865384615384615
2013 39 8 0.0761904761904762
2014 39 9 0.123287671232877
2004 40 3 0.0638297872340425
2005 40 5 0.0961538461538462
2006 40 5 0.0961538461538462
2007 40 6 0.115384615384615
2008 40 6 0.115384615384615
2009 40 5 0.0961538461538462
2010 40 5 0.0943396226415094
2011 40 8 0.0930232558139535
2012 40 11 0.105769230769231
2013 40 10 0.0952380952380952
2014 40 5 0.0684931506849315
2004 41 5 0.106382978723404
2005 41 5 0.0961538461538462
2006 41 4 0.0769230769230769
2007 41 9 0.173076923076923
2008 41 4 0.0769230769230769
2009 41 4 0.0769230769230769
2010 41 3 0.0566037735849057
2011 41 8 0.0930232558139535
2012 41 9 0.0865384615384615
2013 41 9 0.0857142857142857
2014 41 5 0.0684931506849315
2004 42 4 0.0851063829787234
2005 42 8 0.153846153846154
2006 42 1 0.0192307692307692
2007 42 6 0.115384615384615
2008 42 3 0.0576923076923077
2009 42 7 0.134615384615385
2010 42 7 0.132075471698113
2011 42 8 0.0930232558139535
2012 42 10 0.0961538461538462
2013 42 16 0.152380952380952
2014 42 8 0.10958904109589
2004 43 5 0.106382978723404
2005 43 6 0.115384615384615
2006 43 5 0.0961538461538462
2007 43 5 0.0961538461538462
2008 43 0 0
2009 43 5 0.0961538461538462
2010 43 8 0.150943396226415
2011 43 3 0.0348837209302326
2012 43 12 0.115384615384615
2013 43 14 0.133333333333333
2014 43 8 0.10958904109589
2004 44 6 0.127659574468085
2005 44 5 0.0961538461538462
2006 44 7 0.134615384615385
2007 44 5 0.0961538461538462
2008 44 5 0.0961538461538462
2009 44 5 0.0961538461538462
2010 44 4 0.0754716981132075
2011 44 9 0.104651162790698
2012 44 17 0.163461538461538
2013 44 13 0.123809523809524
2014 44 9 0.123287671232877
2004 45 3 0.0638297872340425
2005 45 3 0.0576923076923077
2006 45 6 0.115384615384615
2007 45 7 0.134615384615385
2008 45 10 0.192307692307692
2009 45 2 0.0384615384615385
2010 45 5 0.0943396226415094
2011 45 12 0.13953488372093
2012 45 6 0.0576923076923077
2013 45 10 0.0952380952380952
2014 45 8 0.10958904109589
2004 46 1 0.0212765957446809
2005 46 2 0.0384615384615385
